term,papers,category,secondary,model,prompt_sha,created_at
reframing heritage values,1,social_behavioral_educational,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407005+00:00
plant nutrition,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407008+00:00
racial justice,1,social_behavioral_educational,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407011+00:00
overcome global climate challenges,1,environmental,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407023+00:00
evaluate projects,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407031+00:00
digital transformation towards sustainability goals,1,general_cross_domain,economic_business|governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407035+00:00
develop construction systems,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407038+00:00
improve frost resistance,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407047+00:00
reconfigure teams and processes,1,economic_business,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407051+00:00
halt accelerated extinction,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407054+00:00
ease burden of proof,1,governance_institutional,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407090+00:00
regional regeneration,1,general_cross_domain,economic_business|environmental|social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407109+00:00
formulate a framework,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:28.407129+00:00
resource potential analysis,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798352+00:00
health care cost analysis,1,economic_business,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798429+00:00
carbon−carbon bond-forming coupling reactions,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798434+00:00
carbon-free sustainable buildings,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798439+00:00
characterization of financial structure,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798443+00:00
align energy systems with decarbonization targets,1,environmental,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798448+00:00
sustainability of aviation transport,1,general_cross_domain,environmental|economic_business|social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798454+00:00
synthetic gasoline production,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798459+00:00
influence organisational capabilities,1,economic_business,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798463+00:00
bolster brand image,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798468+00:00
improve urbanization quality,1,social_behavioral_educational,environmental|economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798473+00:00
circularity impacts,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798480+00:00
explore opportunities and threats,1,economic_business,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798485+00:00
dynamic equilibrium,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798489+00:00
coordinates society with economy,1,general_cross_domain,social_behavioral_educational|economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798493+00:00
improving urban ecological governance,1,governance_institutional,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798497+00:00
process optimization cost reduction,1,economic_business,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798502+00:00
waste revitalization,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798507+00:00
compare architectural trends,1,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798511+00:00
anti-cancer properties,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798515+00:00
diesel oil production,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798520+00:00
measure protein organization,1,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798524+00:00
eco-friendly processes,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798527+00:00
control environmental cost,1,economic_business,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798531+00:00
policy outlining,1,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798536+00:00
building ecology-friendly industrial gardens,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798540+00:00
stable structure,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798544+00:00
value chain matching,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798547+00:00
production logistics improvement,1,economic_business,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798551+00:00
meet eu regulations,1,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798555+00:00
clarify indicator use,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798559+00:00
material using rate,1,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798565+00:00
rethinking end-of-life phases,1,material_technical,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798568+00:00
confirming guidelines,1,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798573+00:00
designing for longevity,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798578+00:00
harmony development,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798583+00:00
regenerate port areas,1,material_technical,environmental|economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798588+00:00
information circulation,1,methodological_knowledge,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798592+00:00
identify determinants,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798596+00:00
environmental contributions,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:31.798600+00:00
green zoology environment,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668495+00:00
suggestions and ideas,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668554+00:00
ensure comprehensive efficiency,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668560+00:00
cyclic utilization,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668568+00:00
resource and environment pressure release,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668576+00:00
construct balanced field,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668582+00:00
development system,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668589+00:00
evaluate position,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668596+00:00
evaluated and variances researched,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668601+00:00
economic structure transfer,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668618+00:00
establishment and improvement,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668627+00:00
identify positives negatives,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668633+00:00
transition to sustainable practices,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668640+00:00
management concepts,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668646+00:00
spread circular economy culture,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668653+00:00
ecological community,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668659+00:00
overcome price barriers,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668664+00:00
resource independence,1,economic_business,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668671+00:00
rebounding old industry base,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668676+00:00
reduce polluted water,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668682+00:00
evaluate effects,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668689+00:00
driving mechanism of circular economy,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668695+00:00
resourcelization,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668701+00:00
economic and environmental development,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668706+00:00
relieve national security risks,1,governance_institutional,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668711+00:00
environmental materials,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668729+00:00
linking csr circular economy,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668734+00:00
fertilizer production bioprocess yield increase,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668739+00:00
guide future strategies,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668746+00:00
socio-environmental responsibility,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668753+00:00
promote circularity and recyclability,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668759+00:00
yield kinetically trapped materials with well-defined dimensions,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668765+00:00
measure ce environment,1,methodological_knowledge,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668772+00:00
economic self operation law,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668778+00:00
deal with rubbish,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668785+00:00
fostering inclusive environment,1,social_behavioral_educational,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668791+00:00
development pattem,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668797+00:00
bio-imaging applications,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668802+00:00
analyze waste legislation,1,governance_institutional,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668808+00:00
long-lasting change,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:34.668813+00:00
financial strategy,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.622880+00:00
combination efficiency maximization,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.622986+00:00
predict the materials stiffness,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.622991+00:00
improve functioning,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.622995+00:00
energy conversion and/or storage applications,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.622998+00:00
taxonomy and pattern development,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623002+00:00
development support,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623006+00:00
understand academic results,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623009+00:00
contributions to sustainable development,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623013+00:00
novel conceptualisations,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623017+00:00
circular economy level estimation,1,methodological_knowledge,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623020+00:00
pollutant control,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623024+00:00
formation mechanism,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623028+00:00
regional distribution,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623031+00:00
progress assessment,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623035+00:00
redesign current ones,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623039+00:00
legislative mode improvement,1,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623042+00:00
mechanism innovation,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623046+00:00
index system design,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623050+00:00
collaborative development,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623054+00:00
economic and environmental win-win,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623058+00:00
ecological turning,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623061+00:00
material use patterns assessment,1,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623065+00:00
knowledge establishment,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623069+00:00
system innovation,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623072+00:00
compare implementation efforts,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623076+00:00
energy management in iron and steel enterprises,1,environmental,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623079+00:00
application directions,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623083+00:00
protect environment and utilize natural resources efficiently,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623086+00:00
energy saving management,1,environmental,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623089+00:00
selecting strategic stress,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623093+00:00
boost green economy,1,economic_business,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623096+00:00
resource utilization after-use utilization,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623100+00:00
manufacture useful materials,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623103+00:00
optimization control,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623107+00:00
promoting building energy efficiency,1,environmental,economic_business|social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623111+00:00
solving particular problems,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623114+00:00
establishment of credit system,1,governance_institutional,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623118+00:00
identify barriers and scopes,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623121+00:00
design measurement database,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:37.623125+00:00
efficiency promotion,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126596+00:00
unveil the microstructure,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126812+00:00
knowledge regarding recirculation,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126867+00:00
compare rejuvenator efficacy explain rejuvenation mechanisms,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126875+00:00
evaluating co-lab,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126881+00:00
project performance analysis,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126887+00:00
identify research priorities,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126893+00:00
strategy comparison,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126909+00:00
control the fecal pollution,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126953+00:00
environment reclamation,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126959+00:00
examine problems and possibilities,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126965+00:00
promote accounting application,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126970+00:00
c2 products formation,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.126985+00:00
evaluate current state,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127054+00:00
waste reduction material recovery energy replacement,1,general_cross_domain,material_technical|environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127061+00:00
design and preparation,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127093+00:00
credit support,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127128+00:00
green practice infusion,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127146+00:00
overcome adoption obstacles,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127151+00:00
biodisinfestation agricultural soils,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127156+00:00
develop framework overcome barriers,1,methodological_knowledge,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127168+00:00
increase reused hair,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127174+00:00
develop engineering literacy,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127180+00:00
teach sustainability principles,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127195+00:00
costs of bsf farming optimize diets,1,economic_business,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127200+00:00
zero carbonzero poverty,1,general_cross_domain,environmental|economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127206+00:00
recycling effectiveness assessment,1,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127232+00:00
soil benefits,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127239+00:00
nitrogen depletion,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127260+00:00
healthy economy,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127267+00:00
develop uhpgc,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127279+00:00
economic-energy-environmental sustainability,1,general_cross_domain,economic_business|environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127294+00:00
preparation of novel molecular and supramolecular solids,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127316+00:00
reduce ruminal ch4,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127328+00:00
calculate land potential,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127340+00:00
conservation culture,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127346+00:00
adaptive materials,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127351+00:00
analyze worldview,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127356+00:00
cellular lipid removal,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127361+00:00
holistic approaches development,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:41.127391+00:00
acrylamide reduction,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641643+00:00
optimize environmental interactions,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641699+00:00
reduce inhibitory compounds,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641707+00:00
fatty acid bioaccumulation,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641713+00:00
mejorar su eficacia,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641721+00:00
micronutrient accumulation,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641728+00:00
element enrichment and fractionation,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641734+00:00
material valorization functional ingredient production,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641740+00:00
attitude and behavior scores,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641752+00:00
implement strategic goal,1,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641758+00:00
sustainable economic system,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641764+00:00
improve power output,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641769+00:00
material recovery resource dependence reduction,1,material_technical,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641775+00:00
quantify urban materials,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641781+00:00
resource recovery co2 reduction,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641787+00:00
teach ce c2c models,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641795+00:00
cancer therapeutic applications,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641801+00:00
characterize the molecular mechanisms and relative kinetics of monomer exchange,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641807+00:00
maintain physical properties increase recycling cycles,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641813+00:00
plastic valorization acetic acid production h2 production,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641819+00:00
map handling reasons,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641825+00:00
rapid learning initiating wider transitions,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641832+00:00
synthesizing oxygenated compounds,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641839+00:00
crude oil absorption,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641845+00:00
eco-efficient concrete,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641851+00:00
stable cooperative equilibrium,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641857+00:00
post-war recovery,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641862+00:00
identify gaps identify groups,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641868+00:00
self-healing materials,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641873+00:00
environmental benefits increased circularity,1,environmental,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641881+00:00
enhance mechanical and durability properties,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641887+00:00
safe and effective reuse,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641893+00:00
energy nutrient water recovery,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641899+00:00
resilient rehabilitation methodology,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641905+00:00
sediment risk assessment,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641910+00:00
optimizing additive application,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641918+00:00
metal and ree recovery,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641923+00:00
elucidate evolutionary trajectory,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641929+00:00
material functionalization,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641935+00:00
pollutant transfer assessment,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:43.641940+00:00
i40 adoption for ce,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:46.788187+00:00
support decision-makers develop regional policies,1,governance_institutional,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:46.788219+00:00
material recovery land recycling,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:46.788229+00:00
regional resilience,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:46.788235+00:00
sustainable recommendations,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:46.788240+00:00
reduce virgin material use reduce solid waste generation,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:46.788243+00:00
explosive detection,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:46.788248+00:00
assess research productivity,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:46.788255+00:00
improved identification sorting,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:25:46.788258+00:00
